"biosample_name","description","high_level_annotation","low_level_annotation"
"T-cell","T-lymphocyte, an adaptive immune cell","Immune System","immune_cell"
"motor neuron","Neuron that controls muscle movement","Brain","brain_cell"
"B cell","B-lymphocyte, an adaptive immune cell","Immune System","immune_cell"
"natural killer cell","NK cell, an innate immune cell","Immune System","immune_cell"
"CD4-positive, alpha-beta T cell","Helper T-cell subtype","Immune System","immune_cell"
"CD8-positive, alpha-beta T cell","Cytotoxic T-cell subtype","Immune System","immune_cell"
"memory B cell","Long-lived B-cell subtype","Immune System","immune_cell"
"naive B cell","B-cell that has not yet encountered an antigen","Immune System","immune_cell"
"CD4-positive, CD25-positive, alpha-beta regulatory T cell","Regulatory T-cell (Treg) subtype","Immune System","immune_cell"
"naive thymus-derived CD4-positive, alpha-beta T cell","Naive Helper T-cell subtype","Immune System","immune_cell"
"T-helper 17 cell","T-helper cell (Th17) subtype","Immune System","immune_cell"
"naive thymus-derived CD8-positive, alpha-beta T cell","Naive Cytotoxic T-cell subtype","Immune System","immune_cell"
"central memory CD8-positive, alpha-beta T cell","Memory Cytotoxic T-cell subtype","Immune System","immune_cell"
"effector memory CD8-positive, alpha-beta T cell","Memory Cytotoxic T-cell subtype","Immune System","immune_cell"
"foreskin keratinocyte","Skin cell from foreskin","Skin","skin_cell"
"GM21619","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21717","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21529","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21528","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21526","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21576","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21447","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21723","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21825","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21390","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21381","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21367","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21360","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM21423","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM18511","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM18519","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM18517","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
"GM18520","Lymphoblastoid cell line (LCL)","Immune System","blood_cell_line"
